survey,level,province,division,district,domain,indicator,unit,type,denom_pop,num_pop,value,n_obs
PDS 2020,Division,Punjab,Lahore,NA,Demographics,Age dependency ratio,dependents per 100 aged 15-64,ratio,11458699,7621716,66.51,10199
PDS 2020,Division,Punjab,Multan,NA,Demographics,Age dependency ratio,dependents per 100 aged 15-64,ratio,7710041,5464833,70.88,6796
PDS 2020,Division,Punjab,Rawalpindi,NA,Demographics,Age dependency ratio,dependents per 100 aged 15-64,ratio,6497282,3629466,55.86,6501
PDS 2020,Division,Punjab,Sahiwal,NA,Demographics,Age dependency ratio,dependents per 100 aged 15-64,ratio,4515321,3312320,73.36,4443
PDS 2020,Division,Punjab,Sargodha,NA,Demographics,Age dependency ratio,dependents per 100 aged 15-64,ratio,5190392,3728517,71.83,4966
PDS 2020,Division,Sindh,Hyderabad,NA,Demographics,Age dependency ratio,dependents per 100 aged 15-64,ratio,5888725,4359320,74.03,6382
PDS 2020,Division,Sindh,Karachi,NA,Demographics,Age dependency ratio,dependents per 100 aged 15-64,ratio,9842058,5430730,55.18,9828
PDS 2020,Division,Sindh,Larkana,NA,Demographics,Age dependency ratio,dependents per 100 aged 15-64,ratio,4758764,4086003,85.86,4015
PDS 2020,Division,Sindh,Mirpur Khas,NA,Demographics,Age dependency ratio,dependents per 100 aged 15-64,ratio,2476777,1889186,76.28,1905
PDS 2020,Division,Sindh,Shaheed Benazirabad,NA,Demographics,Age dependency ratio,dependents per 100 aged 15-64,ratio,2672341,2267194,84.84,2508
PDS 2020,Division,Sindh,Sukkur,NA,Demographics,Age dependency ratio,dependents per 100 aged 15-64,ratio,4512206,3913053,86.72,3195
PDS 2020,Division,Balochistan,Kalat,NA,Education,Literacy rate (10 years and older),% of population 10+,pct,1749751,395350,22.59,4177
PDS 2020,Division,Balochistan,Mekran,NA,Education,Literacy rate (10 years and older),% of population 10+,pct,1052460,286958,27.27,1669
PDS 2020,Division,Balochistan,Nasirabad,NA,Education,Literacy rate (10 years and older),% of population 10+,pct,1135180,429423,37.83,2190
PDS 2020,Division,Balochistan,Quetta,NA,Education,Literacy rate (10 years and older),% of population 10+,pct,3119037,1166707,37.41,3889
PDS 2020,Division,Balochistan,Rakhshan,NA,Education,Literacy rate (10 years and older),% of population 10+,pct,271434,100333,36.96,551
PDS 2020,Division,Balochistan,Sibi,NA,Education,Literacy rate (10 years and older),% of population 10+,pct,934331,321052,34.36,1715
PDS 2020,Division,Balochistan,Zhob,NA,Education,Literacy rate (10 years and older),% of population 10+,pct,1158455,399881,34.52,2418
PDS 2020,Division,Islamabad ICT,Islamabad,NA,Education,Literacy rate (10 years and older),% of population 10+,pct,1459031,1208564,82.83,1446
PDS 2020,Division,Khyber Pakhtunkhwa,Bannu,NA,Education,Literacy rate (10 years and older),% of population 10+,pct,1817111,932635,51.33,2624
PDS 2020,Division,Khyber Pakhtunkhwa,Dera Ismail Khan,NA,Education,Literacy rate (10 years and older),% of population 10+,pct,1364596,528344,38.72,1910
PDS 2020,Division,Khyber Pakhtunkhwa,Hazara,NA,Education,Literacy rate (10 years and older),% of population 10+,pct,3916776,2521547,64.38,5916
PDS 2020,Division,Khyber Pakhtunkhwa,Kohat,NA,Education,Literacy rate (10 years and older),% of population 10+,pct,2374937,1387593,58.43,2975
PDS 2020,Division,Khyber Pakhtunkhwa,Malakand,NA,Education,Literacy rate (10 years and older),% of population 10+,pct,6350509,2897537,45.63,7315
PDS 2020,Division,Khyber Pakhtunkhwa,Mardan,NA,Education,Literacy rate (10 years and older),% of population 10+,pct,3429572,2036150,59.37,3317
PDS 2020,Division,Khyber Pakhtunkhwa,Peshawar,NA,Education,Literacy rate (10 years and older),% of population 10+,pct,7616212,3568120,46.85,8672
PDS 2020,Division,Punjab,Bahawalpur,NA,Education,Literacy rate (10 years and older),% of population 10+,pct,9574466,5207614,54.39,8576
PDS 2020,Division,Punjab,Dera Ghazi Khan,NA,Education,Literacy rate (10 years and older),% of population 10+,pct,8171464,4156330,50.86,7614
