survey,level,province,division,district,domain,indicator,unit,type,denom_pop,num_pop,value,n_obs,representative
PSLM 2019-20,Division,Balochistan,Sibi,NA,Demographics,Population 65 years and above,% of population,pct,897151,20526,2.29,11975,Representative
PSLM 2019-20,Division,Balochistan,Zhob,NA,Demographics,Population 65 years and above,% of population,pct,394166,5769,1.46,5353,Representative
PSLM 2019-20,Division,Islamabad ICT,Islamabad,NA,Demographics,Population 65 years and above,% of population,pct,1621777,70724,4.36,6634,Representative
PSLM 2019-20,Division,Khyber Pakhtunkhwa,Bannu,NA,Demographics,Population 65 years and above,% of population,pct,2624338,57695,2.2,11297,Representative
PSLM 2019-20,Division,Khyber Pakhtunkhwa,Dera Ismail Khan,NA,Demographics,Population 65 years and above,% of population,pct,2618291,55269,2.11,9953,Representative
PSLM 2019-20,Division,Khyber Pakhtunkhwa,Hazara,NA,Demographics,Population 65 years and above,% of population,pct,5237884,218133,4.16,31185,Representative
PSLM 2019-20,Division,Khyber Pakhtunkhwa,Kohat,NA,Demographics,Population 65 years and above,% of population,pct,2903103,96670,3.33,20484,Representative
PSLM 2019-20,Division,Khyber Pakhtunkhwa,Malakand,NA,Demographics,Population 65 years and above,% of population,pct,7344073,247190,3.37,46875,Representative
PSLM 2019-20,Division,Khyber Pakhtunkhwa,Mardan,NA,Demographics,Population 65 years and above,% of population,pct,3757751,143003,3.81,19248,Representative
PSLM 2019-20,Division,Khyber Pakhtunkhwa,Peshawar,NA,Demographics,Population 65 years and above,% of population,pct,8546753,271750,3.18,46981,Representative
PSLM 2019-20,Division,Punjab,Bahawalpur,NA,Demographics,Population 65 years and above,% of population,pct,11215501,396449,3.53,47425,Representative
PSLM 2019-20,Division,Punjab,Dera Ghazi Khan,NA,Demographics,Population 65 years and above,% of population,pct,10573920,317156,3,38073,Representative
PSLM 2019-20,Division,Punjab,Faisalabad,NA,Demographics,Population 65 years and above,% of population,pct,12879181,492870,3.83,54909,Representative
PSLM 2019-20,Division,Punjab,Gujranwala,NA,Demographics,Population 65 years and above,% of population,pct,14327613,623727,4.35,61467,Representative
PSLM 2019-20,Division,Punjab,Lahore,NA,Demographics,Population 65 years and above,% of population,pct,18208632,608589,3.34,62089,Representative
PSLM 2019-20,Division,Punjab,Multan,NA,Demographics,Population 65 years and above,% of population,pct,11000099,347943,3.16,47133,Representative
PSLM 2019-20,Division,Punjab,Rawalpindi,NA,Demographics,Population 65 years and above,% of population,pct,8387961,474688,5.66,44753,Representative
PSLM 2019-20,Division,Punjab,Sahiwal,NA,Demographics,Population 65 years and above,% of population,pct,6316274,213024,3.37,26683,Representative
PSLM 2019-20,Division,Punjab,Sargodha,NA,Demographics,Population 65 years and above,% of population,pct,7061847,325813,4.61,38130,Representative
PSLM 2019-20,Division,Sindh,Hyderabad,NA,Demographics,Population 65 years and above,% of population,pct,8972827,152640,1.7,41786,Representative
PSLM 2019-20,Division,Sindh,Karachi,NA,Demographics,Population 65 years and above,% of population,pct,16304839,511564,3.14,50092,Representative
PSLM 2019-20,Division,Sindh,Larkana,NA,Demographics,Population 65 years and above,% of population,pct,5226726,66510,1.27,24794,Representative
PSLM 2019-20,Division,Sindh,Mirpur Khas,NA,Demographics,Population 65 years and above,% of population,pct,3815074,116330,3.05,15880,Representative
PSLM 2019-20,Division,Sindh,Shaheed Benazirabad,NA,Demographics,Population 65 years and above,% of population,pct,4540205,85155,1.88,19682,Representative
PSLM 2019-20,Division,Sindh,Sukkur,NA,Demographics,Population 65 years and above,% of population,pct,5226435,130828,2.5,25511,Representative
PSLM 2019-20,Division,Balochistan,Kalat,NA,Demographics,Households (extrapolated),households,pct,367644,367644,100,2997,Representative
PSLM 2019-20,Division,Balochistan,Loralai,NA,Demographics,Households (extrapolated),households,pct,133993,133993,100,1372,Representative
PSLM 2019-20,Division,Balochistan,Mekran,NA,Demographics,Households (extrapolated),households,pct,210592,210592,100,1124,Representative
PSLM 2019-20,Division,Balochistan,Nasirabad,NA,Demographics,Households (extrapolated),households,pct,278077,278077,100,2049,Representative
PSLM 2019-20,Division,Balochistan,Quetta,NA,Demographics,Households (extrapolated),households,pct,633102,633102,100,3217,Representative
PSLM 2019-20,Division,Balochistan,Rakhshan,NA,Demographics,Households (extrapolated),households,pct,83560,83560,100,1563,Representative
PSLM 2019-20,Division,Balochistan,Sibi,NA,Demographics,Households (extrapolated),households,pct,172338,172338,100,2193,Representative
PSLM 2019-20,Division,Balochistan,Zhob,NA,Demographics,Households (extrapolated),households,pct,63870,63870,100,719,Representative
PSLM 2019-20,Division,Islamabad ICT,Islamabad,NA,Demographics,Households (extrapolated),households,pct,335643,335643,100,1367,Representative
PSLM 2019-20,Division,Khyber Pakhtunkhwa,Bannu,NA,Demographics,Households (extrapolated),households,pct,455590,455590,100,1995,Representative
PSLM 2019-20,Division,Khyber Pakhtunkhwa,Dera Ismail Khan,NA,Demographics,Households (extrapolated),households,pct,559508,559508,100,2169,Representative
PSLM 2019-20,Division,Khyber Pakhtunkhwa,Hazara,NA,Demographics,Households (extrapolated),households,pct,945483,945483,100,5550,Representative
PSLM 2019-20,Division,Khyber Pakhtunkhwa,Kohat,NA,Demographics,Households (extrapolated),households,pct,453021,453021,100,3053,Representative
PSLM 2019-20,Division,Khyber Pakhtunkhwa,Malakand,NA,Demographics,Households (extrapolated),households,pct,1062478,1062478,100,6717,Representative
PSLM 2019-20,Division,Khyber Pakhtunkhwa,Mardan,NA,Demographics,Households (extrapolated),households,pct,542877,542877,100,2770,Representative
PSLM 2019-20,Division,Khyber Pakhtunkhwa,Peshawar,NA,Demographics,Households (extrapolated),households,pct,1154929,1154929,100,6339,Representative
PSLM 2019-20,Division,Punjab,Bahawalpur,NA,Demographics,Households (extrapolated),households,pct,1916983,1916983,100,8147,Representative
PSLM 2019-20,Division,Punjab,Dera Ghazi Khan,NA,Demographics,Households (extrapolated),households,pct,1873092,1873092,100,6747,Representative
PSLM 2019-20,Division,Punjab,Faisalabad,NA,Demographics,Households (extrapolated),households,pct,2373166,2373166,100,10067,Representative
PSLM 2019-20,Division,Punjab,Gujranwala,NA,Demographics,Households (extrapolated),households,pct,2551537,2551537,100,10953,Representative
PSLM 2019-20,Division,Punjab,Lahore,NA,Demographics,Households (extrapolated),households,pct,3622052,3622052,100,12339,Representative
PSLM 2019-20,Division,Punjab,Multan,NA,Demographics,Households (extrapolated),households,pct,2014192,2014192,100,8623,Representative
PSLM 2019-20,Division,Punjab,Rawalpindi,NA,Demographics,Households (extrapolated),households,pct,1668381,1668381,100,8908,Representative
PSLM 2019-20,Division,Punjab,Sahiwal,NA,Demographics,Households (extrapolated),households,pct,1237168,1237168,100,5261,Representative
PSLM 2019-20,Division,Punjab,Sargodha,NA,Demographics,Households (extrapolated),households,pct,1332429,1332429,100,7139,Representative
PSLM 2019-20,Division,Sindh,Hyderabad,NA,Demographics,Households (extrapolated),households,pct,1889870,1889870,100,8803,Representative
