survey,level,province,division,district,domain,indicator,unit,type,denom_pop,num_pop,value,n_obs
LFS 2024-25,Division,Khyber Pakhtunkhwa,Hazara,NA,Labour Force,Unemployment rate,% of labour force,pct,2051481,178747,8.71,3773
LFS 2024-25,Division,Khyber Pakhtunkhwa,Kohat,NA,Labour Force,Unemployment rate,% of labour force,pct,981419,109780,11.19,1208
LFS 2024-25,Division,Khyber Pakhtunkhwa,Malakand,NA,Labour Force,Unemployment rate,% of labour force,pct,3042081,281281,9.25,4711
LFS 2024-25,Division,Khyber Pakhtunkhwa,Mardan,NA,Labour Force,Unemployment rate,% of labour force,pct,1430200,127090,8.89,1908
LFS 2024-25,Division,Khyber Pakhtunkhwa,Peshawar,NA,Labour Force,Unemployment rate,% of labour force,pct,3206441,348622,10.87,4737
LFS 2024-25,Division,Punjab,Bahawalpur,NA,Labour Force,Unemployment rate,% of labour force,pct,5071393,143239,2.82,5696
LFS 2024-25,Division,Punjab,Dera Ghazi Khan,NA,Labour Force,Unemployment rate,% of labour force,pct,5738399,258633,4.51,6551
LFS 2024-25,Division,Punjab,Faisalabad,NA,Labour Force,Unemployment rate,% of labour force,pct,5533461,274469,4.96,5793
LFS 2024-25,Division,Punjab,Gujranwala,NA,Labour Force,Unemployment rate,% of labour force,pct,5965942,442680,7.42,6724
LFS 2024-25,Division,Punjab,Lahore,NA,Labour Force,Unemployment rate,% of labour force,pct,7421198,675829,9.11,6706
LFS 2024-25,Division,Punjab,Multan,NA,Labour Force,Unemployment rate,% of labour force,pct,5534216,430216,7.77,5808
LFS 2024-25,Division,Punjab,Rawalpindi,NA,Labour Force,Unemployment rate,% of labour force,pct,3985994,558097,14,4353
LFS 2024-25,Division,Punjab,Sahiwal,NA,Labour Force,Unemployment rate,% of labour force,pct,3287495,173516,5.28,3638
